batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,119,10,179,0.0,9.03,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,118,10,179,0.0,9.1,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,117,10,179,0.0,9.18,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,178,116,10,179,1.5,9.21,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,176,115,10,179,3.6,9.18,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,176,114,10,179,3.0,9.26,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,170,113,10,179,7.71,9.03,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,166,112,10,179,9.75,8.89,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,111,10,179,9.33,8.92,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,110,10,179,8.4,9.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,161,109,10,179,9.82,8.86,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,161,108,10,179,9.0,8.94,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,160,107,10,179,8.77,8.97,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,159,106,10,179,8.57,9.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,158,105,10,179,8.4,9.03,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,157,104,10,179,8.25,9.06,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,151,103,10,179,9.88,8.8,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,150,102,10,179,9.67,8.82,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,150,101,10,179,9.16,8.91,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,149,100,10,179,9.0,8.94,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,148,99,10,179,8.86,8.97,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,144,98,10,179,9.55,8.82,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,143,97,10,179,9.39,8.85,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,142,96,10,179,9.25,8.88,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,142,95,9,179,8.88,8.97,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,138,94,9,179,9.46,8.81,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,134,95,9,179,10.8,8.46,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,133,94,9,179,10.62,8.49,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,131,93,9,179,10.67,8.45,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,125,92,9,179,11.57,8.15,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,125,91,9,179,11.17,8.24,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,124,90,9,179,11.0,8.27,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,123,89,9,179,10.84,8.29,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,123,89,9,179,10.84,8.29,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,123,88,9,179,10.5,8.39,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,123,87,9,179,10.18,8.48,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,119,86,9,179,10.59,8.3,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,118,85,9,179,10.46,8.33,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,114,84,9,179,10.83,8.14,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,113,83,9,179,10.7,8.17,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,111,82,9,179,10.74,8.12,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,111,81,9,179,10.46,8.22,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,110,80,9,179,10.35,8.25,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,110,79,9,179,10.1,8.35,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,108,78,9,179,10.14,8.31,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,108,77,9,179,9.91,8.42,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,107,76,9,179,9.82,8.45,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,103,75,9,179,10.13,8.24,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,102,74,9,179,10.04,8.27,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,98,73,9,179,10.34,8.05,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,97,72,9,179,10.25,8.08,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,96,71,9,179,10.16,8.11,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,95,70,9,179,10.08,8.14,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,95,69,9,179,9.88,8.26,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,93,68,9,179,9.92,8.21,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,92,67,9,179,9.85,8.24,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,90,66,9,179,9.89,8.18,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,89,65,9,179,9.82,8.22,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,89,64,9,179,9.64,8.34,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,89,63,8,179,9.47,8.48,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,87,62,8,179,9.52,8.42,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,87,61,8,179,9.36,8.56,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,86,60,8,179,9.3,8.6,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,86,59,8,179,9.15,8.75,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,85,58,8,179,9.1,8.79,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,84,57,8,179,9.05,8.84,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,83,56,8,179,9.0,8.89,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,79,55,8,179,9.23,8.62,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,73,54,8,179,9.64,8.11,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,72,53,8,179,9.58,8.15,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,71,52,8,179,9.53,8.19,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,70,51,8,179,9.48,8.24,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,69,50,8,179,9.43,8.28,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,69,49,8,179,9.3,8.45,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,68,48,8,179,9.25,8.5,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,68,47,7,179,9.12,8.68,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,68,46,7,179,9.0,8.87,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,68,45,7,179,8.88,9.07,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,68,44,7,179,8.76,9.27,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,66,43,7,179,8.81,9.21,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,65,42,7,179,8.77,9.29,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,64,41,7,179,8.73,9.37,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,64,40,7,179,8.62,9.6,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,60,39,7,179,8.81,9.23,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,59,38,7,179,8.78,9.32,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,58,37,7,179,8.75,9.41,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,57,36,7,179,8.71,9.5,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,56,35,7,179,8.68,9.6,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,52,34,7,179,8.86,9.18,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,51,35,7,179,9.04,8.74,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,50,34,7,179,9.0,8.82,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,48,33,7,179,9.03,8.73,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,47,32,7,179,9.0,8.81,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,41,31,7,179,9.3,7.94,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,41,30,6,179,9.2,8.2,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,40,29,6,179,9.16,8.28,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,39,28,6,179,9.13,8.36,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,35,27,6,179,9.29,7.78,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,34,26,6,179,9.26,7.85,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,34,25,6,179,9.16,8.16,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,34,24,6,179,9.06,8.5,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,33,23,6,179,9.03,8.61,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,32,22,6,179,9.0,8.73,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,32,21,6,179,8.91,9.14,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,31,20,6,179,8.88,9.3,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,31,19,6,179,8.79,9.79,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,30,18,6,179,8.76,10.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,30,17,6,179,8.68,10.59,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,30,16,6,179,8.6,11.25,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,29,15,6,179,8.57,11.6,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,23,14,6,179,8.83,9.86,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,23,13,6,179,8.75,10.62,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,23,12,5,179,8.67,11.5,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,23,11,5,179,8.59,12.55,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,19,10,5,179,8.73,11.4,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,18,9,5,179,8.7,12.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,12,8,5,179,8.95,9.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,8,7,5,179,9.08,6.86,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,8,6,5,179,9.0,8.0,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,7,5,5,179,8.97,8.4,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,1,4,5,179,9.21,1.5,1
Kolkata Knight Riders,Punjab Kings,Chandigarh,192,119,10,192,0.0,9.68,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,191,118,10,192,3.0,9.71,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,190,117,10,192,4.0,9.74,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,189,116,10,192,4.5,9.78,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,183,115,10,192,10.8,9.55,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,179,114,10,192,13.0,9.42,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,179,113,9,192,11.14,9.5,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,179,112,9,192,9.75,9.59,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,111,9,192,11.33,9.46,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,110,9,192,10.2,9.55,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,109,9,192,9.27,9.63,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,108,8,192,8.5,9.72,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,171,107,8,192,9.69,9.59,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,171,106,8,192,9.0,9.68,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,170,105,8,192,8.8,9.71,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,169,104,8,192,8.62,9.75,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,169,103,8,192,8.12,9.84,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,168,102,8,192,8.0,9.88,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,168,101,8,192,7.58,9.98,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,168,100,8,192,7.2,10.08,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,168,99,8,192,6.86,10.18,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,168,98,8,192,6.55,10.29,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,164,97,8,192,7.3,10.14,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,163,96,8,192,7.25,10.19,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,163,95,8,192,6.96,10.29,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,163,94,7,192,6.69,10.4,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,163,93,7,192,6.44,10.52,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,159,92,7,192,7.07,10.37,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,157,91,7,192,7.24,10.35,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,157,90,7,192,7.0,10.47,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,157,89,7,192,6.77,10.58,0
